country,population,netMigration,population_in_millions
Afghanistan,18782444.28125,-2570326,18.296875
Albania,2713609.46875,-1411489,2.1875
Algeria,26222807.796875,-873554,25.703125
American Samoa,42368.71875,-42044,0.0
Andorra,50480.640625,51997,0.0
Angola,15188963.703125,1993735,14.703125
Antigua and Barbuda,72316.78125,-20766,0.0
Argentina,33202795.546875,402012,32.734375
Armenia,2927305.828125,-1159157,2.4375
Aruba,77906.5,4370,0.0
Australia,17631488.421875,7818329,17.15625
Austria,7917847.3125,1456500,7.40625
Azerbaijan,7246785.046875,-645652,6.765625
Bahrain,677471.578125,584191,0.265625
Bangladesh,110502817.5625,-20504716,110.0
Barbados,259619.59375,-71952,0.0
Belarus,9511239.109375,-201260,9.0625
Belgium,10239946.25,1627045,9.71875
Belize,217794.765625,3797,0.0
Benin,6333795.875,-24544,5.796875
Bermuda,58366.53125,-2364,0.0
Bhutan,519540.984375,-7684,0.0
Bosnia and Herzegovina,3895418.265625,-1609483,3.453125
Botswana,1427281.640625,186263,0.90625
Brazil,150663705.28125,18146,150.15625
Brunei Darussalam,271529.640625,62051,0.0
Bulgaria,8093770.171875,-846478,7.546875
Burkina Faso,11021612.921875,-1431133,10.515625
Burundi,6321279.6875,-1068647,5.796875
Cabo Verde,400372.953125,-181319,0.0
Cambodia,10251990.984375,-666760,9.71875
Cameroon,13530657.9375,-455735,13.046875
Canada,28226290.96875,10187120,27.765625
Cayman Islands,32717.109375,42613,0.0
Central African Republic,3298674.703125,-1679103,2.765625
Chad,7797086.515625,222503,7.34375
Chile,13717895.0625,386399,13.203125
China,1109125312.5,-17070233,1108.65625
Colombia,33668811.984375,-1225871,33.140625
Comoros,466433.5625,-84610,0.0
Costa Rica,3304390.6875,364000,2.8125
Croatia,4398162.921875,-485010,3.953125
Cuba,10224931.28125,-1808000,9.78125
Cyprus,868258.203125,252293,0.328125
Czechia,10237331.3125,299758,9.765625
Denmark,5246286.8125,649166,4.796875
Djibouti,567597.53125,323137,0.140625
Dominica,69151.75,-39714,0.0
Dominican Republic,7329601.921875,-1460649,6.828125
Ecuador,10911625.203125,-348286,10.40625
El Salvador,5075701.8125,-2924034,4.640625
Equatorial Guinea,678223.71875,400343,0.234375
Eritrea,2206267.125,-791083,1.78125
Estonia,1392234.828125,51035,1.0
Eswatini,815530.421875,-321396,0.40625
Ethiopia,59303048.296875,2078259,58.875
Faroe Islands,44548.5,-2605,0.0
Fiji,734598.765625,-407194,0.0
Finland,5020539.265625,218300,4.515625
France,58527398.109375,5171494,58.03125
French Polynesia,208108.359375,-25299,0.0
Gabon,1178783.078125,245987,0.65625
Georgia,4152434.78125,-2041581,3.546875
Germany,79807685.421875,13307249,79.328125
Ghana,17599745.640625,-1050941,17.09375
Gibraltar,28406.40625,-4227,0.0
Greece,10019931.578125,406022,9.453125
Greenland,51793.734375,-15775,0.0
Grenada,105445.671875,-77738,0.0
Guam,132636.625,-61807,0.0
Guatemala,9983785.1875,-2160901,9.515625
Guinea,7389353.921875,-1094385,6.859375
Guinea-Bissau,1127279.296875,-151566,0.5625
Guyana,740965.265625,-709174,0.0
Haiti,7379137.09375,-1592460,6.875
Honduras,5700087.59375,-596711,5.21875
Hungary,10229459.140625,776234,9.78125
Iceland,264904.03125,33800,0.0
India,916069253.703125,-11247041,915.5625
Indonesia,185108591.265625,-359691,184.609375
Iraq,21534702.890625,162358,21.0
Ireland,3759066.015625,315474,3.171875
Isle of Man,69264.828125,43314,0.0
Israel,5396000.3125,1806744,4.90625
Italy,56572525.671875,4322252,56.0
Jamaica,2354260.453125,-1235118,1.765625
Japan,118512300.5,4385624,118.0
Jordan,4545948.390625,2984384,4.046875
Kazakhstan,14900428.078125,-2164886,14.40625
Kenya,26815427.765625,-1975572,26.28125
Kiribati,82000.0,-37291,0.0
Kuwait,2012901.46875,1496752,1.5
Latvia,2309606.203125,-191453,1.84375
